Number of Threads,Average of Average,SD of Average,Average 95thPL,SD of 95thPL,Average Throughput,SD of Throughput,Number of Measures
1,299.26,29.41,494.75,76.07,1461.14,128.20,20
20,3191.01,364.67,15411.80,3256.87,1672.09,222.85,20
40,6638.29,806.49,40883.00,6550.31,1495.01,157.80,20
60,11080.35,1547.79,65648.60,13298.42,1413.76,178.22,20
80,13770.45,2475.76,76370.20,12452.48,1443.36,217.55,20
100,17624.38,2775.53,94213.40,14097.67,1340.03,229.74,20
120,23545.50,6204.23,93699.80,18098.39,1343.18,201.79,20
140,26454.66,9157.80,91912.60,12875.50,1497.61,141.56,20
160,34113.33,9894.46,104082.20,19528.49,1461.15,173.69,20
180,43513.23,13067.10,125647.00,27699.30,1302.42,184.93,20
200,52759.21,13860.18,146395.80,28734.74,1254.71,173.04,20
220,46247.00,12586.74,130274.20,30367.32,1358.98,140.87,20
240,53916.16,13124.79,139259.80,24080.26,1342.33,160.11,20
260,56606.10,16094.79,138507.80,21130.18,1320.96,161.41,20
280,56825.25,13273.37,142098.20,24328.23,1291.98,178.50,20
300,62663.13,16378.07,160581.40,29135.84,1300.01,140.43,20
320,65965.50,18472.59,167663.00,32391.22,1214.21,128.59,20
340,71638.03,17720.18,168709.40,28040.36,1216.47,153.94,20
360,73156.53,14435.35,171269.40,22876.55,1247.46,164.14,20
380,74613.77,21080.72,167576.60,33732.25,1284.89,154.51,20
400,84338.00,19984.34,189355.80,38942.02,1209.84,239.90,20
420,95144.42,28524.62,203128.60,40879.00,1195.09,200.78,20
440,92500.89,18922.11,195512.60,33625.32,1147.08,119.15,20
460,98427.34,20056.53,205528.60,30554.67,1078.52,168.23,20
480,103489.10,20642.75,210495.00,28746.50,1084.26,143.52,20
500,120106.79,26075.93,221733.40,50161.28,1116.25,199.67,20
