Number of Threads,Average of Average,SD of Average,Average 95thPL,SD of 95thPL,Average Throughput,SD of Throughput,Number of Measures
1,161.12,32.42,249.31,36.24,1892.39,94.78,19
20,1729.25,392.91,4108.15,1216.03,2407.72,82.70,20
40,3436.33,564.87,17996.00,9993.64,2263.60,76.15,20
60,6134.62,3279.90,64202.40,55672.97,2106.26,202.93,20
80,8250.56,1617.08,69111.00,17268.56,2093.87,84.90,20
100,11353.58,2656.04,78091.80,20986.60,1995.73,126.78,20
120,15241.93,3450.11,93477.40,19264.58,1968.81,95.88,20
140,19831.76,5893.08,91344.60,26170.60,1976.27,64.02,20
160,26962.12,11870.62,116219.80,66711.14,1834.85,221.99,20
180,28559.81,10301.12,105583.00,21593.28,1891.19,69.53,20
200,33307.53,8809.39,105130.20,23184.26,1867.18,154.46,20
220,35645.25,9358.46,108456.60,24522.18,1844.68,92.43,20
240,41889.83,11761.37,119138.20,20343.96,1782.28,172.84,20
260,48547.03,8914.07,123301.40,24956.91,1800.78,57.32,20
280,43315.70,10641.82,122850.20,23136.90,1815.40,59.10,20
300,47531.08,11625.96,128533.40,22291.86,1772.11,75.50,20
320,54198.33,16759.77,136213.40,26170.27,1755.03,164.12,20
340,61840.21,12951.58,140248.60,17182.72,1750.74,66.94,20
360,66312.84,11928.46,154197.40,22007.83,1707.64,86.92,20
380,65755.60,14506.01,149051.80,21659.18,1721.68,62.95,20
400,67576.57,14663.94,151938.20,29543.64,1650.33,157.26,20
420,76594.38,20617.21,156437.40,32445.16,1567.07,198.45,20
440,95578.15,27621.76,191026.20,53087.09,1519.29,172.32,20
460,87515.27,13024.95,175250.20,31130.06,1571.80,74.46,20
480,91825.86,19362.85,176373.40,53700.55,1557.61,147.39,20
500,84140.33,13970.37,163333.40,29943.45,1604.54,97.60,20
