Number of Threads,Average Latency,Standard Deviation,Number of Measures
1,157.76,27.37,20
20,1692.88,292.61,20
40,3000.78,580.12,20
60,5051.85,1151.12,20
80,7647.17,1924.03,20
100,9468.11,1474.68,20
120,12829.44,3235.20,20
140,16755.66,5476.44,20
160,20013.03,6368.55,20
180,25266.20,8229.78,20
200,25020.37,9554.22,20
220,29650.57,7023.21,20
240,34691.09,9718.60,20
260,38615.08,11131.39,20
280,43046.25,9928.01,20
300,47248.00,5562.63,20
320,52672.15,7708.13,20
340,52583.81,14604.98,20
360,54686.44,9456.64,20
380,58801.25,12187.39,20
400,53087.40,11503.19,20
420,63706.55,9509.04,20
440,66142.15,12684.12,20
460,73205.36,12473.16,20
480,81544.67,14441.59,20
500,80001.39,15844.39,20
