Number of Threads,Average Latency,Standard Deviation,Number of Measures
1,401.09,32.84,20
20,8028.73,341.60,20
40,16432.89,1548.18,20
60,22747.57,1893.48,20
80,29385.75,1536.30,20
100,37535.47,2888.93,20
120,45225.59,4114.55,20
140,53658.96,3895.77,20
160,59304.13,4258.50,20
180,67159.78,5473.66,20
200,75341.17,6630.84,20
220,77740.13,4013.20,20
240,87441.97,5278.71,20
260,98161.11,8856.82,20
280,96357.95,3514.55,20
300,109079.36,12683.97,20
320,109714.90,4211.29,20
340,118737.95,6029.14,20
360,118230.09,4007.74,20
380,147579.41,10105.20,20
400,157762.86,8533.31,20
420,161123.30,8566.75,20
440,161142.69,10732.98,20
460,153088.10,12194.74,20
480,159636.15,8850.56,20
500,158411.82,8227.94,20
