Number of Threads,Average of Average,SD of Average,Average 95thPL,SD of 95thPL,Average Throughput,SD of Throughput,Number of Measures
1,401.09,32.84,736.35,127.69,1604.76,128.83,20
20,8028.73,341.60,17267.40,1294.18,1592.30,44.83,20
40,16432.89,1548.18,29014.20,4822.06,1598.96,112.62,20
60,22747.57,1893.48,38395.00,5314.39,1668.99,93.58,20
80,29385.75,1536.30,49053.40,5967.50,1693.30,60.00,20
100,37535.47,2888.93,58325.40,6253.21,1663.32,82.50,20
120,45225.59,4114.55,74357.40,17338.51,1621.12,107.28,20
140,53658.96,3895.77,82520.60,6465.23,1583.58,87.51,20
160,59304.13,4258.50,88242.20,9619.62,1611.35,86.35,20
180,67159.78,5473.66,101160.60,12623.75,1577.27,92.26,20
200,75341.17,6630.84,117125.40,20469.98,1554.65,85.40,20
220,77740.13,4013.20,120984.60,13692.32,1589.77,56.74,20
240,87441.97,5278.71,134421.40,18948.50,1550.20,53.88,20
260,98161.11,8856.82,145003.80,13018.00,1474.27,104.89,20
280,96357.95,3514.55,143048.60,11052.97,1536.95,51.64,20
300,109079.36,12683.97,166008.60,34956.63,1472.14,96.80,20
320,109714.90,4211.29,162955.80,11761.77,1530.30,47.05,20
340,118737.95,6029.14,171019.80,15723.41,1487.88,82.79,20
360,118230.09,4007.74,172715.80,8470.55,1522.51,42.80,20
380,147579.41,10105.20,224274.20,19290.25,1318.06,87.77,20
400,157762.86,8533.31,240088.60,24010.69,1284.42,53.03,20
420,161123.30,8566.75,248664.60,19757.44,1296.28,56.11,20
440,161142.69,10732.98,241394.20,16393.20,1343.65,73.18,20
460,153088.10,12194.74,223051.80,22481.07,1414.84,82.96,20
480,159636.15,8850.56,230271.00,15796.90,1417.09,48.32,20
500,158411.82,8227.94,226085.40,13457.54,1451.34,39.52,20
