Number of Threads,Average Latency,Standard Deviation,Number of Measures
1,326.83,11.93,20
20,11447.51,1371.39,20
40,23577.77,2173.30,20
60,34206.86,3752.14,20
80,46006.21,4049.64,20
100,55892.01,5055.04,20
120,67678.85,4274.45,20
140,76055.72,6606.23,20
160,85180.06,5891.53,20
180,95107.92,8552.69,20
200,108432.34,8494.58,20
220,114114.57,7819.02,20
240,127196.72,12734.08,20
260,130748.53,10173.93,20
280,144366.33,9593.92,20
300,149701.09,10812.39,20
320,162488.91,8605.46,20
340,173228.93,14713.20,20
360,178239.79,18648.20,20
380,205266.65,27301.73,20
400,184789.93,17527.68,20
420,207110.37,21419.56,20
440,207376.09,32219.20,20
460,219505.69,20042.79,20
480,225278.21,27773.77,20
500,234311.40,17804.82,20
