Number of Threads,Average of Average,SD of Average,Average 95thPL,SD of 95thPL,Average Throughput,SD of Throughput,Number of Measures
1,326.83,11.93,644.65,71.82,1208.84,51.77,20
20,11447.51,1371.39,31995.00,4462.26,1233.94,120.37,20
40,23577.77,2173.30,56216.60,7978.47,1196.10,91.11,20
60,34206.86,3752.14,83192.60,9355.20,1214.35,109.05,20
80,46006.21,4049.64,106735.00,14405.13,1177.73,89.39,20
100,55892.01,5055.04,126754.20,12076.96,1190.55,83.54,20
120,67678.85,4274.45,153602.20,17415.88,1155.32,168.09,20
140,76055.72,6606.23,168632.60,17503.80,1192.69,67.40,20
160,85180.06,5891.53,182309.40,22074.95,1196.17,57.47,20
180,95107.92,8552.69,196440.60,24729.00,1194.20,77.46,20
200,108432.34,8494.58,226264.60,24615.34,1170.10,66.06,20
220,114114.57,7819.02,231442.20,26585.11,1168.45,63.18,20
240,127196.72,12734.08,269727.00,43100.82,1150.65,81.59,20
260,130748.53,10173.93,265087.00,25799.20,1164.89,64.52,20
280,144366.33,9593.92,290296.60,28380.42,1119.00,61.60,20
300,149701.09,10812.39,309067.80,30609.77,1155.39,64.65,20
320,162488.91,8605.46,333157.40,30945.79,1118.38,44.03,20
340,173228.93,14713.20,338239.00,31354.44,1095.62,80.87,20
360,178239.79,18648.20,355659.80,44054.40,1115.05,97.27,20
380,205266.65,27301.73,407282.20,65881.79,983.57,99.33,20
400,184789.93,17527.68,363967.00,42550.74,1122.90,83.39,20
420,207110.37,21419.56,404863.00,45355.67,1063.01,89.05,20
440,207376.09,32219.20,401944.60,85194.50,1090.25,100.19,20
460,219505.69,20042.79,411314.20,43920.08,1059.43,73.98,20
480,225278.21,27773.77,415794.20,52672.81,1089.97,83.74,20
500,234311.40,17804.82,427096.60,32163.07,1072.69,80.48,20
