Number of Threads,Average Latency,Standard Deviation,Number of Measures
1,985.43,236.75,20
20,13264.86,2536.60,20
40,25731.23,3438.33,20
60,33850.16,2333.67,20
80,47119.37,4315.98,20
100,57542.81,5087.30,20
120,71337.44,8853.30,20
140,80602.49,9340.28,20
160,101697.31,20637.19,20
180,133000.94,119992.85,20
200,113262.81,10206.49,20
220,129183.54,23616.36,20
240,130920.13,13597.24,20
260,136538.31,11778.57,20
280,142521.29,12292.71,20
300,172053.56,43131.79,20
320,174821.28,24685.14,20
340,208855.40,47287.54,20
360,223049.37,45229.95,20
380,219723.46,34998.03,20
400,246221.10,82035.75,20
420,230512.65,15909.35,20
440,219720.99,39948.64,20
460,241895.52,39217.10,20
480,259906.83,43217.93,20
500,261718.24,40972.51,20
