Number of Threads,Average of Average,SD of Average,Average 95thPL,SD of 95thPL,Average Throughput,SD of Throughput,Number of Measures
1,985.43,236.75,1862.50,389.92,1123.38,136.33,20
20,13264.86,2536.60,32048.60,10563.91,1093.21,178.35,20
40,25731.23,3438.33,56496.60,10988.07,1127.62,115.11,20
60,33850.16,2333.67,77042.20,21416.40,1232.87,51.07,20
80,47119.37,4315.98,109211.80,39204.52,1149.89,86.20,20
100,57542.81,5087.30,116171.80,30339.26,1180.31,64.44,20
120,71337.44,8853.30,147627.80,47616.00,1122.72,99.80,20
140,80602.49,9340.28,159067.80,36998.82,1129.05,108.17,20
160,101697.31,20637.19,188792.60,61623.52,1067.91,147.46,20
180,133000.94,119992.85,279506.20,301751.05,1047.85,249.68,20
200,113262.81,10206.49,207640.60,36236.14,1116.59,70.45,20
220,129183.54,23616.36,238603.80,71311.38,1088.67,127.13,20
240,130920.13,13597.24,235250.20,45146.49,1114.15,101.96,20
260,136538.31,11778.57,242501.40,35763.99,1123.57,60.06,20
280,142521.29,12292.71,244907.80,29707.15,1143.99,52.96,20
300,172053.56,43131.79,308683.80,96463.20,1043.07,137.80,20
320,174821.28,24685.14,306859.80,62287.47,1065.01,91.43,20
340,208855.40,47287.54,351051.80,98639.99,977.04,169.83,20
360,223049.37,45229.95,385048.60,88703.20,940.40,129.60,20
380,219723.46,34998.03,367653.40,82178.97,982.80,126.54,20
400,246221.10,82035.75,426891.80,169581.92,950.57,177.78,20
420,230512.65,15909.35,365515.80,44678.34,1003.02,57.34,20
440,219720.99,39948.64,378149.40,65353.86,1059.55,81.97,20
460,241895.52,39217.10,405912.60,53173.73,990.13,72.25,20
480,259906.83,43217.93,406706.20,69068.18,1017.79,84.22,20
500,261718.24,40972.51,424741.40,72048.15,989.95,90.32,20
